"","Ca","Mg","K","Na","Fl","SO4","Cl","NO3","TH","pH","EC","TDS","WQI"
"274",55.7,52.3,2.3,90.3,0.4,51.4,88.5,114,354.08,7.57,798,19.5,72.8831039215686
"275",17,7,1.1,11,0.2,5,5,19.8,71.21,7.6,158,3,22.2639607843137
"276",19.5,7.4,1.4,18.9,0.2,4,10.5,23.3,79,7.31,240,0.6,24.4095666666667
"277",35,40,6.2,49,0.5,16,14.8,73.8,252,7.69,468,1,52.523191372549
"278",71.2,42.7,1.5,52.8,0.2,19.5,62.4,77,353,7.03,500,5.8,53.1195937254902
"279",64.4,42.6,3.8,53.8,0.2,28.4,101.5,78,335.89,7.21,512,2.8,54.4850549019608
"280",49,36,2.1,53,0.2,31,23,73.2,271,7.35,524,4.5,50.226031372549
"281",66,64,3.5,24,0.5,3,27,81.6,428,7.42,595,10.4,59.2726196078431
"282",60,50,1.6,90,0.3,5,45,82.5,356,7.52,705,1.1,59.3415647058824
"283",80.9,38.4,1.19,37,0.12,8.73,26.7,77,341,8.09,480,4.37,52.1901317647059
"284",34.1,17.4,2.8,33.6,0.2,10.3,25.6,45,157,7.07,302,1.9,34.6561984313726
"285",65,31,3.1,38,0.2,14,58,70.7,289.68,7.1,420,2.2,48.0631019607843
"286",58.7,31.7,0.8,41,0.2,8.2,37.4,60,276.84,7.05,388,5.3,43.4492760784314
"287",75,40,3.3,14.8,0.1,3,16.8,69.1,352,7.52,472,12.2,48.1278580392157
"288",52,45,5.1,25,0.5,11,16,59.7,315,7.53,485,5.4,49.1267725490196
"289",53.3,46,1.1,53.3,0.5,31.3,58.9,75,322.18,7.19,538,23,55.7147525490196
"290",58,37,4.1,50,0.1,4,21,82.3,297,7.45,556,0.6,52.4775098039216
"291",94,33,2.3,16.7,0.3,3,9.9,69.4,371,7.01,572,6.8,50.8055447058824
"292",75,45,6.2,70,0.1,9,63,102.5,373,7.3,640,14.7,63.6435921568627
"293",61,37,1.8,98,0.7,11,46,96.8,305,7.4,674,24.6,66.3858039215686
"294",75,76,1.4,24,0.3,7,50,119.9,500,7.32,675,3,70.7019411764706
"295",106,33,3.44,47,0.33,19.1,33.5,88,401,8.02,580,21.9,61.5316235294118
"296",71.3,52.5,2.26,196,0.7,92.9,174,131,394,8.23,938,12.5,91.0283215686274
"297",79.7,78.8,1.12,32.1,0.34,5.85,32.8,95,459,8.14,592,5.46,65.0950909803922
"298",80,21,5.2,44,0.3,19,32,67.5,286,7.5,460,3,49.7542823529412
"299",80,34,1,13.9,0.2,5,12.1,54.7,340,7.34,505,1,43.9255101960784
"300",42.4,58.2,5.7,94,0.2,12.1,45.5,91,345.16,7.3,614,10.7,60.7993254901961
"301",57,30,2.2,61,0.1,13,53,57,266,7.1,198,5.9,40.915368627451
"302",33.4,20.1,3.8,45.3,0.1,5.5,9.2,46,166,7.31,316,2.8,35.1902733333333
"303",36,25,1.1,36,0.1,18,40,59.3,235,7,390,1.3,39.7575568627451
"304",44,18,1.9,75,0.4,7,67,73.6,183.81,7.9,440,7.9,50.144462745098
"305",54.5,32.6,2,72,0.1,1.6,6.4,74,270.06,7.22,502,2.4,48.724142745098
"306",77,40,2.5,47,0.3,18,60,83.9,356.63,7.6,530,3.9,57.0504941176471
"307",89,48,0.2,41,0.1,12,31,89.5,420,7.52,556,3.6,57.4720980392157
"308",80,31,1.2,47,0.2,7,43,82.4,327,6.75,570,7.9,53.4197607843137
"309",108,38,1.3,59,0.4,34,60,102,426,6.9,624,7.5,66.3047450980392
"310",46.9,38.5,1.8,105,0.4,6.7,53.3,106,275,7.27,662,17.6,64.968128627451
"311",61.1,31.1,2.6,52.4,0.3,11.5,51.7,8,281,7.06,508,20.9,32.9477105882353
"312",70.4,38.1,3.8,75.6,0.4,3.9,60.3,79,332.35,7.38,582,7.8,57.3882815686274
"313",49,35,3.9,125,0.6,60,100,108,266,7.2,714,3.7,70.9952470588235
"314",46.2,46.8,5.47,175,0.9,1.9,49,102,307.76,7.49,786,0.2,74.4724411764706
"315",52,33,4.7,77,0.3,36,25,73.5,266,7.1,496,1.8,52.3386352941177
"316",72,17.4,2.3,23,0.3,3,7,76.1,251,7.2,460,7.2,48.3256470588235
"317",76,30,1.3,7.4,0.3,4,11.2,57.7,313,7.01,460,0.02,43.6877647058824
"318",45.8,30.8,2.6,6.7,0.1,0.3,5.5,53,241,8.13,336,2,38.4298098039216
"319",22,8,2.2,24,0.4,15,21,29.6,87.9,7.6,216,6.5,29.5098274509804
"320",79,36,1.4,15.9,0.1,2,17,70.5,345,7.41,480,6.8,47.6970450980392
"321",90,35,3.1,8.5,0.3,5,12,64.7,369,7.38,410,8.6,48.0792882352941
"322",63,40.4,3.6,24.3,0.1,5.1,31.6,68,323.35,7.8,446,10.2,47.6678709803922
"323",90,33,1.6,42,0.4,28,44,77.2,361,7.56,555,11.2,56.446262745098
"324",51.2,32.2,2.7,22.8,0.1,8.1,23.7,53,260.18,8.59,382,12.7,41.6492439215686
"325",75.6,37.2,4.2,44.8,0.5,3.3,22.4,72,341.63,7.36,474,14,53.8984525490196
"326",70.5,45,4.1,26.1,0.1,17.1,55.5,75,360.98,8.53,562,24.1,54.2714568627451
"327",99,35.9,0.32,14.4,0.22,5.52,30.5,56,380,7.86,528,8.37,47.4327380392157
"328",37,81.3,5.1,40,0.2,10,21,43.7,168,7.73,425,0.5,45.1613960784314
"329",50,22,6.7,36,0.3,5,15.3,55.6,215,7.4,432,0.8,42.9952305882353
"330",54,27,2.2,62,0.6,13,19.4,69.3,246,7.31,516,4.7,51.83088
"331",54,21,1.7,42,0.2,5,25,76.8,221,7.18,585,1.6,48.747231372549
"332",53,46,2.7,67,0.6,16,39,110.5,322,7.56,600,4,67.4663294117647
"333",92.4,60.6,1.05,43.2,0.35,63.1,71.8,101,375,8.17,630,2.37,68.9360278431373
"334",50,27,3.7,34,0.2,6,63,67.7,235.8,7.5,432,8.2,46.1147490196078
"335",45,13,0.4,32,0.4,8,16,39.9,166,7.73,255,2.7,34.940662745098
"336",34,15.8,1.4,27,0.2,1,16.9,38.2,150,7.1,296,6.6,31.5959819607843
"337",61,26,1.6,55,0.4,12,20,66.7,259.13,7.6,418,2.1,48.4084274509804
"338",49,39,5.6,34,0.5,13,26,66.6,283,7.42,428,0.3,49.8966196078431
"339",67,37,2.5,34,0.3,8,84,74.4,320,7.39,484,11.5,52.0093294117647
"340",116,38.8,1.58,10.8,0.13,20.1,40,84,320,8.12,518,10.6,57.184768627451
"341",61.9,26.9,1,111.6,0.5,34.7,50.6,82,265.08,7.14,554,3.4,58.2543866666667
"342",72,40,0.9,39,0.2,9,15,75.3,344,7.08,568,1.7,51.4226196078431
"343",70,54,4.1,44,0.1,16,28,90.1,397,7.45,584,15.8,58.6115098039216
"344",69,39.1,2.4,46.4,0.2,34.4,81.3,89,332.97,7.05,658,14,58.5203560784314
"345",60,40,5.9,55,0.3,14,38,84.8,314,7.45,660,3.4,57.9919764705882
"346",91.9,56.6,0.55,58.7,0.15,80,61.2,101,396,8.01,636,1.07,67.4002823529412
"347",87,45,1,31,0.2,6,25,80.6,402,7.16,620,14,55.4015490196078
"348",55.7,52.3,2.3,90.3,0.4,51.4,88.5,114,354.08,7.57,798,19.5,72.8831039215686
"349",19.5,7.4,1.4,18.9,0.2,4,10.5,23.3,79,7.31,240,0.6,24.4095666666667
"350",60,35,5.3,9.4,0.5,3,6.3,63.6,294,7.51,284,4.3,46.3584501960784
"351",71.2,42.7,1.5,52.8,0.2,19.5,62.4,77,353,7.03,500,5.8,53.1195937254902
"352",64.4,42.6,3.8,53.8,0.2,28.4,101.5,78,335.89,7.21,512,2.8,54.4850549019608
"353",49,36,2.1,53,0.2,31,23,73.2,271,7.35,524,4.5,50.226031372549
"354",57,43,8,57,0.2,14,43,87.2,319,7.3,590,8.6,57.7031254901961
"355",60,50,1.6,90,0.3,5,45,82.5,356,7.52,705,1.1,59.3415647058824
"356",80.9,38.4,1.19,37,0.12,8.73,26.7,77,341,8.09,480,4.37,52.1901317647059
"357",34.1,17.4,2.8,33.6,0.2,10.3,25.6,45,157,7.07,302,1.9,34.6561984313726
"358",58.7,31.7,0.8,41,0.2,8.2,37.4,60,276.84,7.05,388,5.3,43.4492760784314
"359",75,40,3.3,14.8,0.1,3,16.8,69.1,352,7.52,472,12.2,48.1278580392157
"360",53.3,46,1.1,53.3,0.5,31.3,58.9,75,322.18,7.19,538,23,55.7147525490196
"361",58,37,4.1,50,0.1,4,21,82.3,297,7.45,556,0.6,52.4775098039216
"362",94,33,2.3,16.7,0.3,3,9.9,69.4,371,7.01,572,6.8,50.8055447058824
"363",75,45,6.2,70,0.1,9,63,102.5,373,7.3,640,14.7,63.6435921568627
"364",61,37,1.8,98,0.7,11,46,96.8,305,7.4,674,24.6,66.3858039215686
"365",110,65,4.4,54,0.2,20,111,117,542,7.3,796,14.9,75.3001254901961
"366",34.6,48.6,5.4,220,0.6,10.7,14.8,122,286.22,7.4,828,4.8,78.9584305882353
"367",75,76,1.4,24,0.3,7,50,119.9,500,7.32,675,3,70.7019411764706
"368",106,33,3.44,47,0.33,19.1,33.5,88,401,8.02,580,21.9,61.5316235294118
"369",79.7,78.8,1.12,32.1,0.34,5.85,32.8,95,459,8.14,592,5.46,65.0950909803922
"370",36.4,23,2,34.2,0.1,8.7,26,44,185.42,7.23,302,3.6,34.3306039215686
"371",80,21,5.2,44,0.3,19,32,67.5,286,7.5,460,3,49.7542823529412
"372",80,34,1,13.9,0.2,5,12.1,54.7,340,7.34,505,1,43.9255101960784
"373",42.4,58.2,5.7,94,0.2,12.1,45.5,91,345.16,7.3,614,10.7,60.7993254901961
"374",57,30,2.2,61,0.1,13,53,57,266,7.1,198,5.9,40.915368627451
"375",33.4,20.1,3.8,45.3,0.1,5.5,9.2,46,166,7.31,316,2.8,35.1902733333333
"376",36,25,1.1,36,0.1,18,40,59.3,235,7,390,1.3,39.7575568627451
"377",44,18,1.9,75,0.4,7,67,73.6,183.81,7.9,440,7.9,50.144462745098
"378",77,40,2.5,47,0.3,18,60,83.9,356.63,7.6,530,3.9,57.0504941176471
"379",89,48,0.2,41,0.1,12,31,89.5,420,7.52,556,3.6,57.4720980392157
"380",108,38,1.3,59,0.4,34,60,102,426,6.9,624,7.5,66.3047450980392
"381",78,33,1.6,23,0.3,5,13.9,64.1,331,7.14,644,15,49.45268
"382",46.9,38.5,1.8,105,0.4,6.7,53.3,106,275,7.27,662,17.6,64.968128627451
"383",109,56,7.8,81,0.2,42,51,114,503,7.3,764,12.7,75.0275254901961
"384",26,16.8,1.6,36,0.5,9,26,43,134,6.75,334,4.5,35.9551607843137
"385",70.4,38.1,3.8,75.6,0.4,3.9,60.3,79,332.35,7.38,582,7.8,57.3882815686274
"386",49,35,3.9,125,0.6,60,100,108,266,7.2,714,3.7,70.9952470588235
"387",46.2,46.8,5.47,175,0.9,1.9,49,102,307.76,7.49,786,0.2,74.4724411764706
"388",99,45,0.8,38,0.3,13,74,96.7,432,6.9,812,22,64.8542117647059
"389",72,17.4,2.3,23,0.3,3,7,76.1,251,7.2,460,7.2,48.3256470588235
"390",79,58,5.2,39,0.2,26,42,94.4,436,7.3,592,12.75966,62.3043959701961
"391",165,89,7.4,150,0.4,163,372,178.1559,400,6.75,1166.558,30,118.21281745098
"392",56,27,3.6,40,1.838257,5.3,14.2,58,251,7.5,380,7.7,58.2577876862745
"393",56,27,3.6,40,1.838257,5.3,14.2,58,251,7.5,380,7.7,58.2577876862745
"394",70,36,2.7,35,2.631988,14.7,32,67.4,323,7.4,544,15.4,72.4570919215686
"395",44.91188,32.09557,3.284499,75.27451,0.1,17.420996,151.77289,65.7,263.4,7.175351,362,1,46.5701484182745
"396",96.3111,61.3838,4.214242,139.11728,1,8.104709,305.97159,137,366.1423,7.446149,758,1.8,91.8051501708627
"397",57.76021,36.63932,3.452172,79.0468,0.1,10.880711,180.80356,76.7,301.6711,7.207406,400,6.7,52.156792873451
"398",140.78767,74.567,4.264287,120.1749,0.2,43.728859,300.20663,138.8,489.7708,7.208243,752,0.4,89.8762724492549
"399",122.78154,76.08469,4.993479,153.83044,1.3,37.187088,361.4201,147.9,418.5394,7.911264,914,0.1,106.275931348275
"400",23.38182,19.29904,2.810366,54.74123,0.2,3.74969,131.08403,35.2,146.0813,7.510776,200,0.4,32.6017022773726
"401",509.75305,300.86594,31.785406,476.84943,0.7,122.720154,1892.86572,130.6,1054.8761,9.41662,800,112.3,198.89326140098
"402",143.46494,86.01402,8.554128,155.74597,0.1,21.490047,540.07269,85.8,417.2142,7.740288,522,28.9,79.250830603451
"403",36.71012,43.32438,7.418192,99.43423,1.8,39.184849,186.54765,87.1,295.453,7.903558,536,0.4,75.2097759783529
"404",46.80782,39.16075,4.136788,106.53799,1.2,29.580736,205.12263,99.9,272.9397,7.57871,546,2.7,72.6367829829412
"405",257.69174,160.71291,17.457861,321.1637,0.8,61.472626,1112.88147,113.6,582.9199,7.040758,650,63.2,130.577897741137
"406",170.64835,129.98386,16.978085,323.05722,2,32.518364,1090.70789,99.2,410.981,6.536681,428,72.2,122.985080995961
"407",55.95084,35.2333,2.542614,86.19701,0.2,41.331944,168.98328,75.7,284.0161,7.13633,438,1.4,53.671598236902
"408",63.39416,39.57216,3.025514,96.84389,0.3,23.206833,208.94627,78.2,294.0211,7.159892,534,1.4,57.9387186842353
"409",40.3212,40.35614,4.110653,103.31802,0.9,5.071183,184.84561,113.5,285.4102,7.403609,480,0.9,71.0544390628235
"410",25.95365,18.60485,3.275338,50.7048,0.1,3.155249,133.54422,29.9,138.7446,7.621577,174,0.4,30.106148857451
"411",45.9805,31.84962,3.14814,76.0358,0.2,5.631698,175.51476,68.2,266.6469,7.26002,386,7.8,48.6886701106667
"412",34.77836,27.1078,3.514952,66.25592,0.1,9.326563,141.17926,61,226.7975,7.314915,280,0.6,42.3702639755686
"413",78.41495,61.27864,7.233955,180.3929,0.9,58.824581,485.15167,81.9,294.142,6.129939,362,29.8,75.0677987432941
"414",26.28686,18.57584,2.049052,58.29885,0.5,16.31654,109.92986,37.1,163.2224,7.197488,190,0.9,35.7380005439608
"415",41.13742,30.58761,3.054263,86.26109,0.3,6.097943,205.58371,64.6,245.5379,7.181825,366,11.7,48.6524156845882
"416",162.46509,78.49622,4.201067,152.80542,0.6,141.547226,322.94839,133,434.9717,7.132718,864,0.4,100.358668137294
"417",49.50432,35.31281,3.226777,95.99219,0.5,6.486812,231.56306,77.4,255.3217,7.251495,462,9.8,57.2176377937255
"418",22.87058,25.02248,2.649082,68.29552,0.3,6.824918,142.68513,52.9,190.5186,7.342179,302,0.4,40.8448769797647
"419",32.24881,28.34256,2.404789,74.81565,0.3,16.256969,142.75198,64.9,232.6382,7.213902,364,2.1,46.4709105043529
"420",29.97871,17.56891,2.320405,56.0762,0.2,6.846793,102.07108,46.8,164.1363,7.354521,154,2,35.2243653864314
